"Board","Profession","Owner Name","Series","Modifier","Mail Address 1","Mail Address 2","Mail Address 3","Mail City","Mail State","Mail ZIP","Mail County","DBA","Location Address 1","Location Address 2","Location Address 3","Location City","Location State","Location ZIP","Location County","License Number","Primary Status","Secondary Status","Original Licensure Date","Effective Date","Expiration Date","Tax Stamp Designation","Smoking Designation","Retail Tobacco Indicator"
"400","4005","BORTUNK, FRANK JAY","JDBW","","18337 NE 4TH COURT","","","MIAMI","FL","33179","23","ROYALTY WINES","18337 NE 4TH COURT","","","MD MIAMI","FL","33179","23","WSL2322374","20","20","08/28/1997","05/06/2015","03/31/2025","","",""
"400","4005","CITY BEVERAGES LLC","KLD","","P.O. BOX 620006","","","ORLANDO","FL","32862","58","CITY BEVERAGES & AVALON ISLAND SPIRITS","10928 FLORIDA CROWN DRIVE","","","ORLANDO","FL","32839","58","WSL5800012","20","21","","04/24/2024","09/30/2025","","",""
"400","4005","DANA WINE & SPIRITS IMPORTERS INC","IMPR","","8603 S. DIXIE HIGHWAY, SUITE 305-A","","","MIAMI","FL","33143","23","DANA WINE & SPIRITS IMPORTERS","8603 S. DIXIE HIGHWAY, SUITE 305A","","","MIAMI","FL","33143","23","WSL2324263","20","20","01/19/2001","05/02/2018","09/30/2024","","",""
"400","4005","SAN MARTINO IMPORTS INC","KLD","","144 MOORE ROAD","","","WEYMOUTH","MA","02189","","MASCIARELLI WINE COMPANY","2307 BRUNER LN","#5","","FORT MYERS","FL","33912","46","WSL4605032","20","20","10/04/2002","01/30/2012","03/31/2025","","",""
"400","4005","WATRA CHURCH GOODS COMPANY","JDBW","","11661 CORPORATE  LAKE BLVD","","","SAN ANTONIO","FL","33576","61","WATRA CHURCH GOODS COMPANY","11661 CORPORATE  LAKE  BLVD","","","SAN ANTONIO","FL","33576","61","WSL6102747","20","20","10/09/1998","08/02/2002","09/30/2025","","",""
"400","4005","DAYTONA BEVERAGES LLC","KLD","","2275 MASON AVENUE","","","DAYTONA BEACH","FL","32117","74","DAYTONA BEVERAGES LLC","2275 MASON AVENUE","","","DAYTONA BEACH","FL","32117","74","WSL7400244","20","20","","09/12/2006","03/31/2025","","",""
"400","4005","DEMERARA DISTILLERS USA INC","IMPR","","499 NW 70TH AVENUE","SUITE 120","","PLANTATION","FL","33317","16","DD US","499 NW 70TH AVENUE","SUITE 120","","PLANTATION","FL","33317","16","WSL1616817","20","20","07/30/1999","07/31/2017","09/30/2025","","",""
"400","4005","MAGNOLIA MARKETING COMPANY","KLD","","PO BOX 349","","","PENSACOLA","FL","32591","27","MAGNOLIA LIQUORS & MAGNOLIA BEER DISTRIBUT","ESCROW, ADMINISTRATIVE","","","NO CITY CODE","FL","00000","13","WSL1301640","20","20","","09/20/2011","09/30/2024","","",""
"400","4005","LEWIS BEAR CO (THE)","KLD","","6120 ENTERPRISE DRIVE","","","PENSACOLA","FL","32505-1858","27","LEWIS BEAR CO","6484 DOGTRACK ROAD","","","EBRO","FL","32437","77","WSL7700433","20","20","","01/05/2012","09/30/2025","","",""
"400","4005","LEWIS BEAR CO (THE)","KLD","","6120 ENTERPRISE DRIVE","","","PENSACOLA","FL","32505-1858","27","LEWIS BEAR COMPANY","6120 ENTERPRISE DRIVE","","","PENSACOLA","FL","32505-1858","27","WSL2700351","20","20","","01/04/2012","09/30/2025","","",""
